id,street,street_number,city,postal_code,lat,lon,name
555,Heuweg,15,Regensburg,93055,48.99280653755645,12.142392687578038,Waldorf-Schulverein Regensburg e.V.
556,Am Wiedfang,5,Regensburg,93047,49.02137271674764,12.096006616695693,KunstKnoten e.V.
557,Am Wiedfang,2,Regensburg,93047,49.02120128001727,12.096384670015045,KARMA Lounge Gastro KG
558,Blaue-Lilien-Gasse,3,Regensburg,93047,49.02052710836249,12.095955033287549,PIC NIC Gourmondo + Hotellerie KG
559,Blaue-Lilien-Gasse,3,Regensburg,93047,49.02052710836249,12.095955033287549,Konditorei Cafe Prock GmbH
560,Wiesenweg,1,Regensburg,93055,48.9876418500274,12.17404549999544,ARCOMTEC Systemtechnik GmbH
561,Keilsteiner Weg,14,Regensburg,93055,49.03696182503904,12.155339125045364,R.E.U.T.-Regensburger Energie- und Umwelttechnik OHG
562,Brombeerweg,2,Regensburg,93055,49.04433933335451,12.158215233357751,IBK Kiesskalt GmbH
563,Brombeerweg,6,Regensburg,93055,49.04395045004296,12.158710016739317,Wolfgang Oberender Persönlichkeitstraining GmbH
564,Am Ölberg,2,Regensburg,93047,49.018374990043824,12.091126169918391,Evangelisches Bildungswerk Regensburg e.V.
565,Predigergasse,2,Regensburg,93047,49.01830442504796,12.090471100018506,Stragenion.com e.K.
566,Bismarckplatz,9,Regensburg,93047,49.01845102009552,12.090069040020651,Snowball GmbH
567,Bismarckplatz,9,Regensburg,93047,49.01845102009552,12.090069040020651,TIVOLI-Berlin Aktiengesellschaft
568,Glockengasse,16,Regensburg,93047,49.01872486672941,12.09126345000763,NaBau eG
569,Glockengasse,2,Regensburg,93047,49.01956460004121,12.09164383993677,gdvSoft UG (haftungsbeschränkt)
570,Glockengasse,2,Regensburg,93047,49.01956460004121,12.09164383993677,et sedia schadt + herramhof gmbh
571,Spiegelgasse,1,Regensburg,93047,49.0180733111452,12.0942670777683,Mink Media International Ltd.
572,Spiegelgasse,1,Regensburg,93047,49.0180733111452,12.0942670777683,Rugby Club Regensburg 2000 e.V.
573,Spiegelgasse,1,Regensburg,93047,49.0180733111452,12.0942670777683,Beigang GmbH
574,Obere Bachgasse,12,Regensburg,93047,49.01764801672808,12.094543266668635,Kosmetikstudio L´image e.K.
575,Obere Bachgasse,14,Regensburg,93047,49.01756240004296,12.094588450004233,"Bücherkiste, Buchhandlung, Antiquariat Albert Prasch e.K."
576,Obere Bachgasse,2,Regensburg,93047,49.01819988342549,12.094583616672905,Hubert H Männermode Hubert Huber
577,Deischgasse,1,Regensburg,93047,49.01766012865308,12.093596028534911,MCB trading Reise- + Immobilien-Vermittlung-GmbH
578,Spiegelgasse,2,Regensburg,93047,49.018149825030605,12.093951749988497,time4golf e.K.
579,Spiegelgasse,4,Regensburg,93047,49.01795604022861,12.093659359873952,Vinzenz Weisinger
580,Am Ölberg,3,Regensburg,93047,49.01820782876048,12.0915852000244,SAHARA Gastro GmbH
581,Dänzergasse,6,Regensburg,93047,49.01799855006937,12.091693750013896,Eckert Getränketechnik GmbH
582,Dänzergasse,8,Regensburg,93047,49.0180436000588,12.09142687498869,European Natural Power AG
583,Dänzergasse,8,Regensburg,93047,49.0180436000588,12.09142687498869,European Natural Power Aktiengesellschaft
584,Dänzergasse,8,Regensburg,93047,49.0180436000588,12.09142687498869,OSTWIND management GmbH
585,Dänzergasse,8,Regensburg,93047,49.0180436000588,12.09142687498869,Windpark Scheibe-Trattendorf Verwaltungsgesellschaft mbH
586,Roter-Brach-Weg,91,Regensburg,93049,49.01829665011632,12.046001450002898,Global Enviro Plasma Technologies GmbH
587,Roter-Brach-Weg,91,Regensburg,93049,49.01829665011632,12.046001450002898,Abit- Express GmbH + Co. KG
588,Konrad-Adenauer-Allee,43,Regensburg,93051,48.99862392503402,12.074203900047372,XLhost.de GmbH
589,Kellerweg,7,Regensburg,93053,49.00814350006759,12.097836449982394,ARS Projekt GmbH
590,Königswiesenweg,21,Regensburg,93051,49.00768561673794,12.077232049971922,Hurt Vermögensverwaltung GmbH + Co. KG
591,Königswiesenweg,21,Regensburg,93051,49.00768561673794,12.077232049971922,Fischer Haus + Heim GmbH
592,Clermont-Ferrand-Allee,38,Regensburg,93049,49.02393685028364,12.063089374876858,Public Media Group GmbH
593,Dechbettener Brücke,1,Regensburg,93051,49.01096760951895,12.068895481728484,"Support Gesellschaft für Betriebsführung, Dienstleistung und Organisation mbH"
594,Münzerweg,19,Regensburg,93049,49.01596840000668,12.053812549995774,Jürgen Moch - Handelsvertretung für Sportartikel GmbH
595,Thannsteinweg,10,Regensburg,93049,49.01514240004845,12.053869900005765,Megist GmbH
596,Wittweg,8,Regensburg,93049,49.01673386252904,12.05381083750049,Colombiana de Ron KG
597,Wittweg,8,Regensburg,93049,49.01673386252904,12.05381083750049,Alexander Rohrbach´s Taxi GmbH
598,Desingweg,7,Regensburg,93049,49.01438737502907,12.0535239625005,OST-EURO Beratungs- und Betreuungs GmbH
599,Rennweg,11,Regensburg,93049,49.012512100023066,12.053559883327926,ahxor H. Rohm KG
600,Desingweg,6,Regensburg,93049,49.01411975001292,12.053350899996888,i-medoc GmbH Medizinische Software
601,Unter den Schwibbögen,23,Regensburg,93047,49.020226690077344,12.100756550031829,ENECA Management- und Beteiligungs-GmbH
602,Schützenheimweg,18,Regensburg,93049,49.01477652500532,12.043672799996518,Kreisschützenverband Oberpfalz und Donaugau E.V.
603,Rennweg,22 a,Regensburg,93049,49.01338834003683,12.043353999998011,Alexandra GmbH + Co. IMMO KG
604,Schützenheimweg,24 a,Regensburg,93049,49.01510400000806,12.043361220001325,Werner Michalke GmbH
605,Heckenweg,4,Regensburg,93049,49.01439926252294,12.044049874992682,"Prälatur Wohn- und Gewerbebau, Bauconsult GmbH"
