id,street,street_number,city,postal_code,lat,lon
1,Am Kreuzhof,2,Regensburg,93055,49.00658436206008,12.182435218661592
2,Regensburger Straße,12,Sinzing,93161,49.00445249338834,11.975334119951247
3,Regensburger Straße,21,Sinzing,93161,49.00484828025144,11.980030940057423
4,Hornstraße,6,Regensburg,93053,49.005051551627815,12.115240396681925
5,Kleiberstraße,2,Regensburg,93053,49.00540267515625,12.11783295810108
6,Franz-Hartl-Straße,1,Regensburg,93053,48.99400335021559,12.109968425264958
7,Wöhrdstraße,62,Regensburg,93059,49.02059664544355,12.11122523060717
8,Michael-Bauer-Straße,30,Lappersdorf,93138,49.05779759928623,12.087243652023218
9,Regendorfer Straße,3,Lappersdorf,93138,49.05727811034043,12.090345920066405
10,Universitätsstraße,84,Regensburg,93053,48.99820764493141,12.087189434716048
11,Kirchweg,2,Sinzing,93161,48.99038792510795,12.035621825046524
12,Fährenweg,4,Sinzing,93161,48.9916924714792,12.038028399977264
13,Burgstraße,12,Falkenstein,93167,49.0995502287945,12.484525642781438
14,Hohengebrachinger Straße,30,Pentling,93080,48.97998657796852,12.06713438894416
15,Unterirading,1,Pentling,93080,48.974480800048326,12.035915627307794
16,Hauptstraße,3,Pentling,93080,48.982395612549766,12.057481137525595
17,Albertus-Magnus-Straße,2,Regensburg,93053,48.9979789093378,12.092754150035828
18,Industriepark Ponholz,1,Maxhütte-Haidhof,93142,49.16057330052636,12.10147874054084
19,Universitätsstraße,31,Regensburg,93053,48.9998237501628,12.094567250040717
20,Donaulände,20a,Regensburg,93055,49.018681500313,12.117050799983298
21,Keplerstraße,82,Neutraubling,93073,48.98656777293228,12.20548071781692
22,Sankt-Michael-Platz,6,Neutraubling,93073,48.9896939002265,12.191999416886167
23,Hans-Böckler-Straße,2,Maxhütte-Haidhof,93142,49.17373175010714,12.094988700292648
24,Amberger Straße,6,Maxhütte-Haidhof,93142,49.17344911267683,12.093033212737115
25,Amberger Straße,8,Maxhütte-Haidhof,93142,49.17381535050979,12.092124651150602
26,Amberger Straße,2,Maxhütte-Haidhof,93142,49.17287806674391,12.093714633378225
27,Amberger Straße,4,Maxhütte-Haidhof,93142,49.17325792517206,12.093505849518271
28,Berliner Straße,22,Neutraubling,93073,48.97634238684805,12.183226267889737
29,Forstweg,4,Maxhütte-Haidhof Ponholz,93142,49.16523532004207,12.09591819998749
30,Forstweg,2,Maxhütte-Haidhof Ponholz,93142,49.16511455004425,12.09646485000452
31,Hans-Böckler-Straße,2,Maxhütte-Haidhof,93142,49.17333807504608,12.095063462453192
32,Komotauer Straße,2,Neutraubling,93073,48.97490078902458,12.179351158643286
33,Berliner Straße,20,Neutraubling,93073,48.97766827253557,12.184953049795087
34,Obertraublinger Straße,1,Neutraubling,93073,48.97767774828032,12.182775882636044
35,Brücklhof,2,Maxhütte-Haidhof Brücklhof,93142,49.16172245004634,12.110940650007867
36,Stockstraße,4,Maxhütte-Haidhof,93142,49.17455935004829,12.089006974992856
37,Stockstraße,6,Maxhütte-Haidhof,93142,49.17459527503864,12.08822582501607
38,Obertraublinger Straße,1,Neutraubling,93073,48.97912066214713,12.18325606737386
39,Obertraublinger Straße,1,Neutraubling,93073,48.9790667602383,12.184108802445774
40,Herbert-Quandt-Allee,,Regensburg,93055,48.97973422105809,12.17518157864992
41,Herbert-Quandt-Allee,,Regensburg,93055,48.97853810259121,12.16655146150649
42,Herbert-Quandt-Allee,1,Regensburg,93055,48.98020446088404,12.161286908487774
43,Herbert-Quandt-Allee,,Regensburg,93055,48.97320469912148,12.17105033345203
44,Herbert-Quandt-Allee,,Regensburg,93055,48.97994427525405,12.169503274945711
45,Herbert-Quandt-Allee,,Regensburg,93055,48.97834871355224,12.169363513114806
46,Herbert-Quandt-Allee,,Regensburg,93055,48.977136175249214,12.169277574980775
47,Herbert-Quandt-Allee,,Regensburg,93055,48.97629941683454,12.16921024991994
48,Herbert-Quandt-Allee,,Regensburg,93055,48.97502362524649,12.169108799978908
49,Herbert-Quandt-Allee,,Regensburg,93055,48.97431387824408,12.167502300495553
50,Herbert-Quandt-Allee,,Regensburg,93055,48.97503307034905,12.167681250246403
51,Herbert-Quandt-Allee,041.5,Regensburg,93055,48.97570926565812,12.165817902418327
52,Herbert-Quandt-Allee,,Regensburg,93055,48.97799890031454,12.170597149630842
53,Am BioPark,11,Regensburg,93053,48.99636301772319,12.098951983445028
54,Am BioPark,9,Regensburg,93053,48.99688391775983,12.098960216550118
55,Universitätsstraße,31,Regensburg,93053,48.99689164316391,12.094210842817464
56,Universitätsstraße,31,Regensburg,93053,48.997184415780026,12.096243592465902
57,Albertus-Magnus-Straße,16,Regensburg,93053,48.99795868609087,12.097970871430196
58,Universitätsstraße,31,Regensburg,93053,48.99803841870656,12.096046053376964
59,Universitätsstraße,31,Regensburg,93053,48.997745537720206,12.094128229950254
60,Walhallastraße,48,Donaustauf,93093,49.03110012278085,12.22404440363901
61,Universitätsstraße,31,Regensburg,93053,49.00011086006944,12.097619300002238
62,Bahnhofstraße,18,Regensburg,93047,49.01219672712103,12.099741283654282
63,Kirchplatz,2,Hemau,93155,49.05182442321437,11.781465223069462
64,Propsteigaßl,2,Hemau,93155,49.05135777504282,11.780970949956451
65,Andreasstraße,19,Regensburg,93059,49.02499518372311,12.101430482527594
66,Schützenstraße,28,Teublitz,93158,49.21995082503332,12.09141234999232
67,Birkenhof,1,Wenzenbach,93173,49.08931815006298,12.214664375158357
68,Universitätsstraße,31,Regensburg,93053,49.00009974002425,12.09284143998597
69,Am Reitfeld,8,Sinzing,93161,48.99490170015859,12.031810087879526
70,Bahnhofstraße,30,Sinzing,93161,48.99853730013156,12.03252040038704
71,Walhallastraße,22,Obertraubling,93083,48.97148377175533,12.17631864318894
72,Straubinger Straße,54,Regensburg,93055,49.012743534116055,12.14994472237424
73,Friesenmühle,1,Beratzhausen,93176,49.08566820007817,11.81201465669157
74,Sonnenstraße,19-23,Lappersdorf,93138,49.0651559730489,12.088659731767192
75,Sonnenstraße,17,Lappersdorf,93138,49.06465552503085,12.088230000000044
76,Waldstraße,6,Lappersdorf,93138,49.06473307501575,12.087999849999507
77,Waldstraße,8,Lappersdorf,93138,49.06447287501002,12.087963825000068
